input1,input2,input3,input4,input5,input6,output1,output2,output3,output4,output5,output6,output7,output8,output9
-2.094395102,-2.094395102,-2.094395102,-2.094395102,-2.094395102,-2.094395102,-0.96875,0.1875,-0.162379763,-0.1875,-0.125,0.974278579,0.162379763,0.974278579,0.15625
-2.094395102,-2.094395102,-2.094395102,-2.094395102,-2.094395102,-1.256637061,-0.527548594,0.1875,-0.828574819,-0.849492073,-0.125,0.512579962,-0.00746311,0.974278579,0.225223338
-2.094395102,-2.094395102,-2.094395102,-2.094395102,-2.094395102,-0.41887902,0.262752179,0.1875,-0.946469779,-0.949342292,-0.125,-0.288312698,-0.172367353,0.974278579,0.145157657
-2.094395102,-2.094395102,-2.094395102,-2.094395102,-2.094395102,0.41887902,0.879179643,0.1875,-0.438048975,-0.420975894,-0.125,-0.898417663,-0.223209434,0.974278579,-0.030964475
-2.094395102,-2.094395102,-2.094395102,-2.094395102,-2.094395102,1.256637061,0.913819837,0.1875,0.360245826,0.385966582,-0.125,-0.914004813,-0.126345174,0.974278579,-0.186596214
-2.094395102,-2.094395102,-2.094395102,-2.094395102,-1.256637061,-2.094395102,-0.872288641,-0.437672522,-0.218071755,0.079061821,-0.566328049,0.82037904,-0.482557515,0.698366168,0.528604711
-2.094395102,-2.094395102,-2.094395102,-2.094395102,-1.256637061,-1.256637061,-0.421616131,-0.437672522,-0.794155275,-0.556757754,-0.566328049,0.607695108,-0.715723858,0.698366168,-0.004904529
-2.094395102,-2.094395102,-2.094395102,-2.094395102,-1.256637061,-0.41887902,0.308056126,-0.437672522,-0.844715447,-0.824149129,-0.566328049,-0.007124248,-0.475267964,0.698366168,-0.535168252
-2.094395102,-2.094395102,-2.094395102,-2.094395102,-1.256637061,0.41887902,0.833875696,-0.437672522,-0.336294644,-0.546169058,-0.566328049,-0.617229213,0.079691177,0.698366168,-0.711290385
-2.094395102,-2.094395102,-2.094395102,-2.094395102,-1.256637061,1.256637061,0.807887374,-0.437672522,0.39466537,0.093232263,-0.566328049,-0.818889667,0.581915574,0.698366168,-0.416724081
-2.094395102,-2.094395102,-2.094395102,-2.094395102,-0.41887902,-2.094395102,-0.405393426,-0.77322016,-0.487633833,0.541457414,-0.632894862,0.55341482,-0.736532443,-0.039682224,0.675237204
-2.094395102,-2.094395102,-2.094395102,-2.094395102,-0.41887902,-1.256637061,0.091121411,-0.77322016,-0.627556749,-0.048961632,-0.632894862,0.772688069,-0.994635434,-0.039682224,-0.095528394
-2.094395102,-2.094395102,-2.094395102,-2.094395102,-0.41887902,-0.41887902,0.527337676,-0.77322016,-0.352201023,-0.606980867,-0.632894862,0.480643653,-0.59454958,-0.039682224,-0.803079148
-2.094395102,-2.094395102,-2.094395102,-2.094395102,-0.41887902,0.41887902,0.614594146,-0.77322016,0.156219781,-0.763337319,-0.632894862,-0.129461312,0.198972793,-0.039682224,-0.979201281
-2.094395102,-2.094395102,-2.094395102,-2.094395102,-0.41887902,1.256637061,0.295149832,-0.77322016,0.561263896,-0.414563859,-0.632894862,-0.653896705,0.860827151,-0.039682224,-0.507347946
-2.094395102,-2.094395102,-2.094395102,-2.094395102,0.41887902,-2.094395102,0.122972972,-0.597098027,-0.792686315,0.893701679,-0.280650596,0.350046499,-0.43147996,-0.75147135,0.499115071
-2.094395102,-2.094395102,-2.094395102,-2.094395102,0.41887902,-1.256637061,0.671365713,-0.597098027,-0.439023947,0.337867903,-0.280650596,0.898376604,-0.65963123,-0.75147135,0.01332107
-2.094395102,-2.094395102,-2.094395102,-2.094395102,0.41887902,-0.41887902,0.775489721,-0.597098027,0.205157596,-0.44154617,-0.280650596,0.852216066,-0.45127893,-0.75147135,-0.481288
-2.094395102,-2.094395102,-2.094395102,-2.094395102,0.41887902,0.41887902,0.366442101,-0.597098027,0.7135784,-0.928772016,-0.280650596,0.242111101,0.055702143,-0.75147135,-0.657410132
-2.094395102,-2.094395102,-2.094395102,-2.094395102,0.41887902,1.256637061,-0.28509447,-0.597098027,0.749796699,-0.801393394,-0.280650596,-0.52820817,0.525822946,-0.75147135,-0.398498481
-2.094395102,-2.094395102,-2.094395102,-2.094395102,1.256637061,-2.094395102,0.363170014,-0.02585297,-0.931364142,0.902700925,0.257311055,0.344850782,0.230734873,-0.965982735,0.116785159
-2.094395102,-2.094395102,-2.094395102,-2.094395102,1.256637061,-1.256637061,0.935146614,-0.02585297,-0.353316336,0.347750743,0.257311055,0.901587734,0.067603479,-0.965982735,0.249613951
-2.094395102,-2.094395102,-2.094395102,-2.094395102,1.256637061,-0.41887902,0.888300428,-0.02585297,0.458534593,-0.437319594,0.257311055,0.861709112,-0.140263759,-0.965982735,0.21726351
-2.094395102,-2.094395102,-2.094395102,-2.094395102,1.256637061,0.41887902,0.253631394,-0.02585297,0.966955397,-0.932998593,0.257311055,0.251604148,-0.255313027,-0.965982735,0.041141377
-2.094395102,-2.094395102,-2.094395102,-2.094395102,1.256637061,1.256637061,-0.548875371,-0.02585297,0.835504309,-0.811276234,0.257311055,-0.524997041,-0.201411762,-0.965982735,-0.162205601
-2.094395102,-2.094395102,-2.094395102,-1.256637061,-2.094395102,-2.094395102,-0.95500599,-0.152700925,0.254255752,0.152700925,0.481762746,0.862894596,-0.254255752,0.862894596,-0.436768735
-2.094395102,-2.094395102,-2.094395102,-1.256637061,-2.094395102,-1.256637061,-0.827972583,-0.152700925,-0.539577454,-0.539078792,0.481762746,0.690868086,0.15445212,0.862894596,-0.481204175
-2.094395102,-2.094395102,-2.094395102,-1.256637061,-2.094395102,-0.41887902,-0.153037604,-0.152700925,-0.97635133,-0.874129162,0.481762746,0.061667367,0.460953034,0.862894596,-0.207208148
-2.094395102,-2.094395102,-2.094395102,-1.256637061,-2.094395102,0.41887902,0.623168294,-0.152700925,-0.767035661,-0.630734361,0.481762746,-0.608341041,0.462423446,0.862894596,0.203905548
-2.094395102,-2.094395102,-2.094395102,-1.256637061,-2.094395102,1.256637061,0.986999561,-0.152700925,-0.050142744,0.030041831,0.481762746,-0.875786587,0.157890327,0.862894596,0.480087034
-2.094395102,-2.094395102,-2.094395102,-1.256637061,-1.256637061,-2.094395102,-0.583316301,-0.811276234,0.03966061,-0.071618627,0.100009983,0.99240555,-0.809081495,0.576045896,-0.116439944
-2.094395102,-2.094395102,-2.094395102,-1.256637061,-1.256637061,-1.256637061,-0.419788368,-0.811276234,-0.406950363,-0.785423265,0.100009983,0.610825915,-0.45484945,0.576045896,-0.679178256
-2.094395102,-2.094395102,-2.094395102,-1.256637061,-1.256637061,-0.41887902,0.021529811,-0.811276234,-0.584266496,-0.979482863,0.100009983,-0.17496092,0.200374119,0.576045896,-0.792477973
-2.094395102,-2.094395102,-2.094395102,-1.256637061,-1.256637061,0.41887902,0.448600879,-0.811276234,-0.374950827,-0.52538066,0.100009983,-0.844969328,0.723002361,0.576045896,-0.381364277
-2.094395102,-2.094395102,-2.094395102,-1.256637061,-1.256637061,1.256637061,0.578815345,-0.811276234,0.082484348,0.276386304,0.100009983,-0.955828758,0.767191897,0.576045896,0.282112953
-2.094395102,-2.094395102,-2.094395102,-1.256637061,-0.41887902,-2.094395102,0.089240056,-0.932998593,-0.348639984,0.023971615,-0.347923265,0.937216498,-0.995721635,-0.091994717,-0.008683208
-2.094395102,-2.094395102,-2.094395102,-1.256637061,-0.41887902,-1.256637061,0.318803253,-0.932998593,-0.166967398,-0.680447449,-0.347923265,0.644934625,-0.65981494,-0.091994717,-0.745775581
-2.094395102,-2.094395102,-2.094395102,-1.256637061,-0.41887902,-0.41887902,0.337401972,-0.932998593,0.125193992,-0.934588044,-0.347923265,-0.074125504,0.112716893,-0.091994717,-0.989359325
-2.094395102,-2.094395102,-2.094395102,-1.256637061,-0.41887902,0.41887902,0.132728719,-0.932998593,0.334509661,-0.57027548,-0.347923265,-0.744133912,0.810659586,-0.091994717,-0.578245629
